date,tenor,term,value
2018-06-13,10Y,10,0.00653124389875651
2018-06-13,15Y,15,0.010383046179094153
2018-06-13,20Y,20,0.011815828312134503
2018-06-13,25Y,25,0.011704437356003645
2018-06-13,30Y,30,0.011643055984537192
2018-06-14,1Y,1,0.00035999010242528427
2018-06-14,2Y,2,0.0007900799192019399
2018-06-14,3Y,3,0.001160377238336235
2018-06-14,4Y,4,0.0016313035064788642
2018-06-14,5Y,5,0.0022934705763767906
2018-06-14,7Y,7,0.003756286143214575
2018-06-14,10Y,10,0.006534295187814088
2018-06-14,15Y,15,0.010438745151797806
2018-06-14,20Y,20,0.011817661164655574
2018-06-14,25Y,25,0.011761312113076848
2018-06-14,30Y,30,0.011712034632601908
2018-06-15,1Y,1,0.0003499912522464374
2018-06-15,2Y,2,0.0007500681818376182
2018-06-15,3Y,3,0.0010703122595247957
2018-06-15,4Y,4,0.0015261433103355587
2018-06-15,5Y,5,0.0021831389337771813
2018-06-15,7Y,7,0.003665591419421619
2018-06-15,10Y,10,0.006402007823980161
2018-06-15,15Y,15,0.010351980435939373
2018-06-15,20Y,20,0.01173392940651144
2018-06-15,25Y,25,0.01164260890753013
2018-06-15,30Y,30,0.011559276146937364
2018-06-18,1Y,1,0.0003499912522464374
2018-06-18,2Y,2,0.0007500681818376182
2018-06-18,3Y,3,0.001150393605646281
2018-06-18,4Y,4,0.0016012318751719313
2018-06-18,5Y,5,0.0022233058661487843
2018-06-18,7Y,7,0.003693812494613691
2018-06-18,10Y,10,0.006442787409420235
2018-06-18,15Y,15,0.010373685282995891
2018-06-18,20Y,20,0.011716393371253797
2018-06-18,25Y,25,0.011640776757112285
2018-06-18,30Y,30,0.011579460262740626
2018-06-19,1Y,1,0.0003199934017401165
2018-06-19,2Y,2,0.0007450795194852295
2018-06-19,3Y,3,0.001080326145480098
2018-06-19,4Y,4,0.0014660488875890471
2018-06-19,5Y,5,0.002112976705580102
2018-06-19,7Y,7,0.0036031767340057247
2018-06-19,10Y,10,0.00635088199417201
2018-06-19,15Y,15,0.010183334459685618
2018-06-19,20Y,20,0.01158031810050177
2018-06-19,25Y,25,0.011479153102400656
2018-06-19,30Y,30,0.011384027927439871
2018-06-20,1Y,1,0.0003399923520798037
2018-06-20,2Y,2,0.0007400686552325714
2018-06-20,3Y,3,0.001080329911149727
2018-06-20,4Y,4,0.0015161199510602631
2018-06-20,5Y,5,0.0021530767580211275
2018-06-20,7Y,7,0.003595153639395522
2018-06-20,10Y,10,0.006421967607014242
2018-06-20,15Y,15,0.010245616081162279
2018-06-20,20Y,20,0.011577577470252048
2018-06-20,25Y,25,0.01147797952003864
2018-06-20,30Y,30,0.011404638973527143
2018-06-21,1Y,1,0.0003199934017401165
2018-06-21,2Y,2,0.0007450795194852295
2018-06-21,3Y,3,0.001100345915086007
2018-06-21,4Y,4,0.0015161313656502184
2018-06-21,5Y,5,0.0021530885943503693
2018-06-21,7Y,7,0.0035951683604864937
2018-06-21,10Y,10,0.006421986481822427
2018-06-21,15Y,15,0.01024563515265785
2018-06-21,20Y,20,0.011605045982709176
2018-06-21,25Y,25,0.011511043856632677
2018-06-21,30Y,30,0.011415848117903466
