"日付","終値","始値","高値","安値","変化率 %"
"2026-02-18","2.109","2.100","2.128","2.059","-0.59%"
"2026-02-17","2.122","2.162","2.178","2.109","-2.62%"
"2026-02-16","2.179","2.165","2.217","2.164","0.32%"
"2026-02-13","2.172","2.154","2.225","2.164","-0.28%"
"2026-02-12","2.178","2.184","2.232","2.165","-1.58%"
"2026-02-11","2.213","2.170","2.213","2.183","-0.05%"
"2026-02-10","2.214","2.225","2.255","2.191","-1.47%"
"2026-02-09","2.247","2.219","2.290","2.215","1.35%"
"2026-02-06","2.217","2.169","2.249","2.138","1.09%"
"2026-02-05","2.193","2.203","2.242","2.188","-1.04%"
"2026-02-04","2.216","2.212","2.261","2.209","-0.58%"
"2026-02-03","2.229","2.203","2.264","2.205","0.27%"
"2026-02-02","2.223","2.214","2.255","2.192","0.63%"
"2026-01-30","2.209","2.216","2.249","2.199","-0.76%"
"2026-01-29","2.226","2.225","2.267","2.218","-0.71%"
"2026-01-28","2.242","2.243","2.289","2.214","-0.97%"
"2026-01-27","2.264","2.208","2.295","2.222","1.98%"
"2026-01-26","2.220","2.240","2.273","2.193","-0.85%"
"2026-01-23","2.239","2.212","2.276","2.215","0.77%"
"2026-01-22","2.222","2.268","2.286","2.219","-2.59%"
"2026-01-21","2.281","2.317","2.342","2.261","-2.27%"
"2026-01-20","2.334","2.231","2.385","2.238","3.60%"
"2026-01-19","2.253","2.177","2.272","2.170","3.21%"
"2026-01-16","2.183","2.157","2.205","2.159","0.69%"
"2026-01-15","2.168","2.143","2.182","2.142","0.56%"
"2026-01-14","2.156","2.165","2.209","2.149","-1.06%"
"2026-01-13","2.179","2.083","2.212","2.100","1.59%"
"2026-01-12","2.145","2.148","2.180","2.104","0.70%"
"2026-01-09","2.130","2.071","2.182","2.088","1.33%"
"2026-01-08","2.102","2.100","2.129","2.086","-0.66%"
"2026-01-07","2.116","2.121","2.164","2.114","-0.75%"
"2026-01-06","2.132","2.111","2.168","2.109","0.61%"
"2026-01-05","2.119","2.076","2.162","2.080","0.52%"
"2026-01-02","2.108","2.108","2.108","2.108","0.00%"
"2026-01-01","2.108","2.108","2.108","2.108","0.00%"
"2025-12-31","2.108","2.108","2.108","2.108","0.00%"
"2025-12-30","2.108","2.041","2.110","2.054","2.33%"
"2025-12-29","2.060","2.034","2.091","2.051","0.15%"
"2025-12-26","2.057","2.044","2.071","2.049","0.00%"
"2025-12-25","2.057","2.039","2.069","2.024","0.88%"
"2025-12-24","2.039","2.030","2.089","2.028","-0.39%"
"2025-12-23","2.047","2.063","2.107","2.032","-1.30%"
"2025-12-22","2.074","2.041","2.125","2.040","1.37%"
"2025-12-19","2.046","1.987","2.075","1.993","2.30%"
