"日付","終値","始値","高値","安値","変化率 %"
"2026-02-18","2.303","2.299","2.320","2.257","-0.63%"
"2026-02-17","2.318","2.360","2.377","2.308","-2.69%"
"2026-02-16","2.382","2.352","2.411","2.356","0.72%"
"2026-02-13","2.365","2.349","2.415","2.356","-0.08%"
"2026-02-12","2.367","2.379","2.424","2.360","-1.99%"
"2026-02-11","2.415","2.372","2.417","2.385","-0.08%"
"2026-02-10","2.417","2.433","2.456","2.389","-1.15%"
"2026-02-09","2.445","2.422","2.497","2.424","0.58%"
"2026-02-06","2.431","2.385","2.456","2.345","1.38%"
"2026-02-05","2.398","2.419","2.451","2.398","-1.36%"
"2026-02-04","2.431","2.431","2.479","2.425","-0.57%"
"2026-02-03","2.445","2.426","2.481","2.424","0.20%"
"2026-02-02","2.440","2.427","2.477","2.413","0.33%"
"2026-01-30","2.432","2.433","2.466","2.418","-0.73%"
"2026-01-29","2.450","2.450","2.482","2.433","-0.41%"
"2026-01-28","2.460","2.461","2.504","2.435","-0.57%"
"2026-01-27","2.474","2.428","2.512","2.440","1.56%"
"2026-01-26","2.436","2.458","2.490","2.411","-1.02%"
"2026-01-23","2.461","2.438","2.494","2.436","0.29%"
"2026-01-22","2.454","2.496","2.512","2.446","-2.15%"
"2026-01-21","2.508","2.547","2.573","2.487","-2.11%"
"2026-01-20","2.562","2.448","2.615","2.455","4.23%"
"2026-01-19","2.458","2.384","2.495","2.385","2.85%"
"2026-01-16","2.390","2.368","2.417","2.368","0.63%"
"2026-01-15","2.375","2.359","2.411","2.356","0.21%"
"2026-01-14","2.370","2.374","2.423","2.364","-0.88%"
"2026-01-13","2.391","2.339","2.426","2.334","1.66%"
"2026-01-12","2.352","2.363","2.396","2.336","0.30%"
"2026-01-09","2.345","2.308","2.396","2.303","1.08%"
"2026-01-08","2.320","2.314","2.346","2.302","-0.60%"
"2026-01-07","2.334","2.330","2.376","2.330","-0.60%"
"2026-01-06","2.348","2.323","2.383","2.324","0.69%"
"2026-01-05","2.332","2.288","2.372","2.294","0.60%"
"2026-01-02","2.318","2.318","2.318","2.318","0.00%"
"2026-01-01","2.318","2.318","2.318","2.318","0.00%"
"2025-12-31","2.318","2.318","2.318","2.318","0.00%"
"2025-12-30","2.318","2.259","2.321","2.273","1.80%"
"2025-12-29","2.277","2.257","2.307","2.268","0.35%"
"2025-12-26","2.269","2.255","2.288","2.266","-0.44%"
"2025-12-25","2.279","2.234","2.286","2.241","0.93%"
"2025-12-24","2.258","2.249","2.309","2.249","-0.18%"
"2025-12-23","2.262","2.273","2.318","2.251","-1.31%"
"2025-12-22","2.292","2.262","2.343","2.263","1.33%"
"2025-12-19","2.262","2.214","2.289","2.218","1.85%"
"2025-12-18","2.221","2.193","2.256","2.212","-0.05%"
"2025-12-17","2.222","2.189","2.253","2.196","0.45%"
"2025-12-16","2.212","2.189","2.235","2.192","-1.65%"
"2025-12-15","2.249","2.188","2.249","2.180","2.69%"
"2025-12-12","2.190","2.174","2.218","2.167","0.32%"
"2025-12-11","2.183","2.165","2.212","2.161","-0.27%"
"2025-12-10","2.189","2.187","2.223","2.183","-0.23%"
"2025-12-09","2.194","2.202","2.226","2.185","-0.90%"
"2025-12-08","2.214","2.182","2.251","2.183","1.05%"
"2025-12-05","2.191","2.162","2.212","2.164","0.60%"
"2025-12-04","2.178","2.133","2.208","2.144","1.63%"
"2025-12-03","2.143","2.110","2.175","2.122","0.56%"
"2025-12-02","2.131","2.111","2.159","2.106","0.33%"
"2025-12-01","2.124","2.070","2.155","2.069","2.46%"
"2025-11-28","2.073","2.037","2.096","2.048","0.97%"
"2025-11-27","2.053","2.028","2.078","2.036","0.24%"
"2025-11-26","2.048","2.042","2.080","2.038","-0.34%"
"2025-11-25","2.055","2.015","2.069","2.021","1.43%"
"2025-11-24","2.026","1.996","2.035","2.018","-0.25%"
"2025-11-21","2.031","2.040","2.062","2.014","-1.50%"
"2025-11-20","2.062","2.038","2.107","2.037","0.34%"
"2025-11-19","2.055","1.995","2.067","2.008","1.18%"
"2025-11-18","2.031","1.980","2.051","1.995","1.91%"
"2025-11-17","1.993","1.948","2.023","1.967","1.22%"
"2025-11-14","1.969","1.943","1.995","1.947","0.41%"
"2025-11-13","1.961","1.925","1.984","1.936","1.03%"
"2025-11-12","1.941","1.929","1.971","1.931","0.05%"
"2025-11-11","1.940","1.921","1.969","1.934","-0.36%"
"2025-11-10","1.947","1.908","1.979","1.922","1.46%"
"2025-11-07","1.919","1.904","1.947","1.903","0.42%"
"2025-11-06","1.911","1.907","1.947","1.901","-0.42%"
"2025-11-05","1.919","1.899","1.936","1.892","0.00%"
"2025-11-04","1.919","1.903","1.944","1.910","0.58%"
"2025-11-03","1.908","1.896","1.926","1.903","-0.16%"
"2025-10-31","1.911","1.880","1.932","1.886","0.79%"
"2025-10-30","1.896","1.903","1.929","1.887","-1.30%"
"2025-10-29","1.921","1.872","1.928","1.884","1.75%"
"2025-10-28","1.888","1.893","1.922","1.880","-1.05%"
"2025-10-27","1.908","1.894","1.946","1.905","-0.26%"
"2025-10-24","1.913","1.907","1.937","1.897","-0.05%"
"2025-10-23","1.914","1.876","1.939","1.887","1.06%"
"2025-10-22","1.894","1.884","1.926","1.883","-0.47%"
"2025-10-21","1.903","1.884","1.930","1.880","-0.21%"
"2025-10-20","1.907","1.874","1.931","1.869","1.17%"
"2025-10-17","1.885","1.861","1.899","1.851","0.86%"
"2025-10-16","1.869","1.867","1.911","1.868","-0.85%"
"2025-10-15","1.885","1.873","1.913","1.876","0.16%"
"2025-10-14","1.882","1.897","1.928","1.877","0.48%"
"2025-10-13","1.873","1.897","1.928","1.873","-1.11%"
"2025-10-10","1.894","1.943","1.973","1.892","-2.77%"
"2025-10-09","1.948","1.921","1.977","1.926","0.41%"
"2025-10-08","1.940","1.938","1.973","1.935","-0.56%"
"2025-10-07","1.951","1.959","1.984","1.935","-1.22%"
"2025-10-06","1.975","1.905","1.993","1.886","3.03%"
"2025-10-03","1.917","1.906","1.939","1.906","-0.05%"
"2025-10-02","1.918","1.894","1.948","1.897","0.00%"
"2025-10-01","1.918","1.882","1.943","1.890","0.84%"
"2025-09-30","1.902","1.879","1.924","1.866","1.01%"
"2025-09-29","1.883","1.870","1.908","1.871","0.21%"
"2025-09-26","1.879","1.868","1.915","1.866","0.21%"
"2025-09-25","1.875","1.871","1.905","1.860","-0.64%"
"2025-09-24","1.887","1.878","1.903","1.868","-0.21%"
"2025-09-23","1.891","1.876","1.891","1.891","0.16%"
"2025-09-22","1.888","1.865","1.913","1.877","0.75%"
"2025-09-19","1.874","1.842","1.906","1.859","-0.11%"
"2025-09-18","1.876","1.854","1.902","1.846","0.32%"
"2025-09-17","1.870","1.863","1.892","1.855","-0.27%"
"2025-09-16","1.875","1.894","1.914","1.848","0.21%"
"2025-09-15","1.871","1.849","1.883","1.867","0.43%"
"2025-09-12","1.863","1.831","1.887","1.846","0.98%"
"2025-09-11","1.845","1.819","1.872","1.827","0.71%"
"2025-09-10","1.832","1.850","1.868","1.827","-1.56%"
"2025-09-09","1.861","1.825","1.882","1.823","0.81%"
"2025-09-08","1.846","1.813","1.873","1.827","0.00%"
"2025-09-05","1.846","1.842","1.872","1.836","-0.59%"
"2025-09-04","1.857","1.898","1.913","1.854","-2.77%"
"2025-09-03","1.910","1.885","1.933","1.895","0.53%"
"2025-09-02","1.900","1.872","1.925","1.872","0.32%"
"2025-09-01","1.894","1.849","1.913","1.863","0.85%"
"2025-08-29","1.878","1.863","1.893","1.875","-0.84%"
"2025-08-28","1.894","1.878","1.908","1.893","-0.79%"
"2025-08-27","1.909","1.884","1.918","1.909","-0.31%"
"2025-08-26","1.915","1.861","1.922","1.891","1.38%"
"2025-08-25","1.889","1.859","1.889","1.889","0.00%"
"2025-08-22","1.889","1.855","1.890","1.879","0.48%"
"2025-08-21","1.880","1.840","1.881","1.870","0.59%"
"2025-08-20","1.869","1.831","1.883","1.861","0.48%"
"2025-08-19","1.860","1.816","1.868","1.846","0.81%"
"2025-08-18","1.845","1.808","1.845","1.831","0.38%"
"2025-08-15","1.838","1.795","1.838","1.825","0.66%"
"2025-08-14","1.826","1.744","1.826","1.774","2.99%"
"2025-08-13","1.773","1.756","1.788","1.773","-0.84%"
"2025-08-12","1.788","1.741","1.790","1.770","1.02%"
"2025-08-11","1.770","1.740","1.770","1.770","0.00%"
"2025-08-08","1.770","1.720","1.770","1.750","1.09%"
"2025-08-07","1.751","1.729","1.761","1.745","-0.51%"
"2025-08-06","1.760","1.716","1.763","1.746","0.86%"
"2025-08-05","1.745","1.731","1.761","1.733","-1.02%"
"2025-08-04","1.763","1.724","1.778","1.753","0.51%"
"2025-08-01","1.754","1.780","1.816","1.751","-3.15%"
"2025-07-31","1.811","1.794","1.824","1.801","-0.77%"
"2025-07-30","1.825","1.778","1.825","1.808","1.05%"
"2025-07-29","1.806","1.775","1.820","1.805","1.82%"
"2025-07-28","1.774","1.804","1.774","1.769","1.43%"
"2025-07-11","1.749","1.730","1.750","1.749","0.94%"
"2025-07-10","1.732","1.735","1.735","1.727","-0.22%"
"2025-07-09","1.736","1.724","1.737","1.715","0.66%"
"2025-07-08","1.725","1.709","1.725","1.709","2.75%"
"2025-07-07","1.679","1.648","1.681","1.648","1.90%"
"2025-07-04","1.648","1.668","1.668","1.646","-1.35%"
"2025-07-03","1.670","1.643","1.670","1.641","1.75%"
"2025-07-02","1.641","1.626","1.641","1.626","1.00%"
"2025-07-01","1.625","1.628","1.628","1.616","-0.23%"
"2025-06-30","1.629","1.631","1.639","1.629","-0.15%"
"2025-06-27","1.631","1.614","1.631","1.612","1.01%"
"2025-06-26","1.615","1.600","1.615","1.601","1.02%"
"2025-06-25","1.599","1.615","1.615","1.585","-1.09%"
"2025-06-24","1.616","1.611","1.620","1.607","0.24%"
"2025-06-23","1.612","1.601","1.617","1.601","0.70%"
"2025-06-20","1.601","1.609","1.621","1.586","-0.39%"
"2025-06-19","1.607","1.617","1.625","1.607","-0.70%"
"2025-06-18","1.619","1.641","1.654","1.619","-1.29%"
"2025-06-17","1.640","1.636","1.666","1.633","0.38%"
"2025-06-16","1.634","1.638","1.659","1.634","-0.23%"
"2025-06-13","1.638","1.635","1.638","1.604","-0.30%"
"2025-06-12","1.643","1.656","1.670","1.643","-0.76%"
"2025-06-11","1.655","1.669","1.669","1.655","-0.90%"
"2025-06-10","1.670","1.641","1.675","1.641","1.83%"
"2025-06-09","1.640","1.635","1.660","1.635","0.31%"
"2025-06-06","1.635","1.641","1.641","1.619","-0.46%"
"2025-06-05","1.643","1.675","1.675","1.634","-2.02%"
"2025-06-04","1.676","1.651","1.685","1.651","1.59%"
"2025-06-03","1.650","1.651","1.651","1.641","-0.15%"
"2025-06-02","1.653","1.644","1.655","1.644","0.53%"
"2025-05-30","1.644","1.633","1.644","1.630","0.77%"
"2025-05-29","1.631","1.639","1.664","1.631","-0.53%"
"2025-05-28","1.640","1.599","1.654","1.599","2.66%"
"2025-05-27","1.597","1.669","1.669","1.571","-4.34%"
"2025-05-26","1.670","1.670","1.670","1.670","0.00%"
"2025-05-23","1.670","1.737","2.993","1.669","-3.96%"
"2025-05-22","1.739","1.702","1.747","1.702","2.20%"
"2025-05-21","1.701","1.674","1.701","1.674","1.57%"
"2025-05-20","1.675","1.626","1.680","1.628","3.08%"
"2025-05-19","1.625","1.615","1.635","1.612","0.62%"
"2025-05-16","1.615","1.624","1.624","1.590","-0.62%"
"2025-05-15","1.625","1.635","1.638","1.625","-0.69%"
"2025-05-14","1.636","1.597","1.636","1.597","2.51%"
"2025-05-13","1.596","1.585","1.600","1.582","0.79%"
"2025-05-12","1.584","1.520","1.610","1.520","4.20%"
"2025-05-09","1.520","1.481","1.526","1.481","2.70%"
"2025-05-08","1.480","1.460","1.490","1.460","1.45%"
"2025-05-07","1.459","1.421","1.464","1.421","2.73%"
"2025-05-05","1.420","1.420","1.420","1.420","0.00%"
"2025-05-02","1.420","1.398","1.420","1.398","1.52%"
"2025-05-01","1.399","1.415","1.419","1.388","-1.06%"
"2025-04-30","1.414","1.446","1.445","1.414","-2.33%"
"2025-04-28","1.447","1.482","1.482","1.439","-2.36%"
"2025-04-25","1.482","1.447","1.484","1.449","2.60%"
"2025-04-24","1.445","1.466","1.464","1.433","-1.53%"
"2025-04-23","1.467","1.426","1.470","1.426","2.80%"
"2025-04-22","1.428","1.423","1.434","1.424","0.44%"
"2025-04-21","1.421","1.421","1.421","1.421","0.00%"
"2025-04-17","1.421","1.399","1.428","1.400","1.51%"
"2025-04-16","1.400","1.514","1.511","1.381","-7.67%"
"2025-04-15","1.516","1.514","1.520","1.486","0.00%"
"2025-04-14","1.516","1.464","1.524","1.464","3.86%"
"2025-04-11","1.460","1.433","1.506","1.423","2.01%"
"2025-04-10","1.431","1.352","1.476","1.352","5.92%"
"2025-04-09","1.351","1.352","1.389","1.345","-0.27%"
"2025-04-08","1.355","1.231","1.386","1.231","10.27%"
"2025-04-07","1.229","1.275","1.275","1.181","-3.43%"
"2025-04-04","1.273","1.254","1.337","1.229","-12.09%"
"2025-04-03","1.447","1.586","1.586","1.440","-8.82%"
"2025-04-02","1.587","1.611","1.614","1.579","-1.55%"
"2025-04-01","1.612","1.615","1.626","1.605","0.00%"
"2025-03-31","1.612","1.653","1.653","1.604","-2.42%"
"2025-03-28","1.653","1.684","1.684","1.650","-2.00%"
"2025-03-27","1.686","1.704","1.702","1.678","-1.10%"
"2025-03-26","1.705","1.701","1.706","1.692","0.36%"
"2025-03-25","1.699","1.690","1.707","1.690","0.59%"
"2025-03-24","1.689","1.654","1.689","1.654","2.12%"
"2025-03-21","1.654","1.688","1.688","1.654","-1.93%"
"2025-03-19","1.686","1.661","1.688","1.658","1.35%"
"2025-03-18","1.664","1.646","1.665","1.646","0.99%"
"2025-03-17","1.648","1.643","1.648","1.643","0.30%"
"2025-03-14","1.643","1.658","1.658","1.634","-0.98%"
"2025-03-13","1.659","1.640","1.674","1.640","1.38%"
"2025-03-12","1.636","1.643","1.643","1.625","-0.68%"
"2025-03-11","1.648","1.658","1.651","1.629","-0.75%"
"2025-03-10","1.660","1.619","1.675","1.619","2.55%"
"2025-03-07","1.619","1.640","1.639","1.619","-1.44%"
"2025-03-06","1.643","1.624","1.663","1.624","1.23%"
"2025-03-05","1.622","1.559","1.622","1.564","4.17%"
"2025-03-04","1.558","1.580","1.580","1.558","-1.51%"
"2025-03-03","1.581","1.543","1.595","1.543","2.52%"
"2025-02-28","1.543","1.561","1.560","1.533","-1.28%"
"2025-02-27","1.563","1.529","1.574","1.530","2.12%"
"2025-02-26","1.530","1.509","1.539","1.510","1.49%"
"2025-02-25","1.508","1.556","1.555","1.508","-3.05%"
"2025-02-24","1.555","1.555","1.555","1.555","0.00%"
"2025-02-21","1.555","1.602","1.601","1.555","-3.04%"
"2025-02-20","1.604","1.614","1.614","1.584","-0.69%"
"2025-02-19","1.615","1.609","1.625","1.601","0.31%"
"2025-02-18","1.610","1.585","1.615","1.585","1.65%"
"2025-02-17","1.584","1.564","1.584","1.565","1.28%"
"2025-02-14","1.564","1.533","1.564","1.533","2.12%"
"2025-02-13","1.531","1.550","1.550","1.531","-1.29%"
"2025-02-12","1.551","1.492","1.551","1.497","4.11%"
"2025-02-11","1.490","1.490","1.490","1.490","0.00%"
"2025-02-10","1.490","1.505","1.505","1.490","-1.00%"
"2025-02-07","1.505","1.484","1.505","1.482","1.52%"
"2025-02-06","1.482","1.486","1.484","1.470","-0.34%"
"2025-02-05","1.487","1.485","1.491","1.480","0.26%"
"2025-02-04","1.484","1.447","1.495","1.447","2.68%"
"2025-02-03","1.445","1.449","1.449","1.439","-0.26%"
"2025-01-31","1.449","1.428","1.450","1.444","1.67%"
"2025-01-30","1.425","1.418","1.433","1.418","0.61%"
"2025-01-29","1.416","1.424","1.424","1.408","-0.70%"
"2025-01-28","1.426","1.419","1.431","1.418","0.62%"
"2025-01-27","1.418","1.449","1.449","1.399","-2.16%"
"2025-01-24","1.449","1.439","1.456","1.439","0.79%"
"2025-01-23","1.438","1.423","1.438","1.423","1.15%"
"2025-01-22","1.421","1.429","1.431","1.418","-0.44%"
"2025-01-21","1.428","1.426","1.434","1.426","0.18%"
"2025-01-20","1.425","1.439","1.439","1.425","-0.96%"
"2025-01-17","1.439","1.455","1.454","1.438","-1.20%"
"2025-01-16","1.456","1.472","1.472","1.447","-1.18%"
"2025-01-15","1.474","1.485","1.503","1.471","-0.67%"
"2025-01-14","1.484","1.485","1.487","1.479","0.00%"
"2025-01-13","1.484","1.484","1.484","1.484","0.00%"
"2025-01-10","1.484","1.442","1.484","1.444","3.03%"
"2025-01-09","1.440","1.461","1.461","1.440","-1.63%"
"2025-01-08","1.464","1.438","1.469","1.438","1.91%"
"2025-01-07","1.436","1.429","1.436","1.429","0.62%"
"2025-01-06","1.428","1.386","1.436","1.388","2.97%"
"2025-01-03","1.386","1.386","1.386","1.386","0.00%"
"2025-01-02","1.386","1.386","1.386","1.386","0.00%"
"2025-01-01","1.386","1.386","1.386","1.386","0.00%"
