language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,dividendYield,financialCurrency,shortName,regularMarketChangePercent,bid,marketCap,ask,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,symbol,earningsTimestamp,averageAnalystRating,prevName,nameChangeDate
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,69950.0,41650.0,0.85,JPY,FAST RETAILING CO LTD,-3.675019,63420.0,19462212288512,63480.0,false,false,false,false,946944000000,2,-2420.0,1773901800,63430.0,64350.0,63120.0 - 64350.0,63120.0,1242100,65850.0,0,0,jp_market,finmb_4493009,Tokyo,"Fast Retailing Co., Ltd.",63850.0,1112344,998600,21780.0,0.5229292,41650.0 - 69950.0,-6520.0,-0.09320944,39.898537,1775716200,1775716200,1744282740,1744282740,false,500.0,45.044918,540.0,0.0075930143,CLOSED,1408.15,1368.75,306829769,8161.229,63849.2,-419.19922,-0.0065654577,53876.2,9553.801,0.17732878,46.341553,7.772114,15,20,Asia/Tokyo,JST,32400000,9983.T,1775716200,1.9 - Buy,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,2360.0,1097.0,2.0,JPY,TAKIHYO CO LTD,-0.57471263,2220.0,19088916480,2260.0,false,false,false,false,1015286400000,2,-13.0,1773901800,2249.0,2267.0,2231.0 - 2267.0,2231.0,10400,2262.0,0,0,jp_market,finmb_5492169,Tokyo,"Takihyo Co., Ltd.",2248.0,14882,11280,1152.0,1.0501367,1097.0 - 2360.0,-111.0,-0.0470339,51.85685,1752134400,1752480000,,,true,20.0,12.3612175,45.0,0.0088417325,CLOSED,181.94,,8487735,3802.721,2190.48,58.52002,0.026715616,1933.12,315.88,0.16340424,,0.5914186,15,20,Asia/Tokyo,JST,32400000,9982.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,182.0,69.0,0.93,JPY,MRK HOLDINGS INC,-5.263158,108.0,10425517056,109.0,false,false,false,false,954806400000,2,-6.0,1773901800,108.0,112.0,108.0 - 112.0,108.0,518100,114.0,0,0,jp_market,finmb_2120697,Tokyo,MRK Holdings Inc.,111.0,1885367,1374460,39.0,0.5652174,69.0 - 182.0,-74.0,-0.4065934,30.12048,1754980200,1755498600,,,true,1.0,22.5,1.0,0.00877193,CLOSED,4.8,,96532571,156.123,105.3,2.699997,0.025640996,96.095,11.904999,0.12388781,,0.69176227,15,20,Asia/Tokyo,JST,32400000,9980.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1263.0,969.0,1.32,JPY,DAISYO CORP,-4.4883304,1061.0,22328119296,1094.0,false,false,false,false,978307200000,2,-50.0,1773901800,1064.0,1119.0,1064.0 - 1119.0,1064.0,114200,1114.0,0,0,jp_market,finmb_882856,Tokyo,Daisyo Corporation,1111.0,59296,53050,95.0,0.09803922,969.0 - 1263.0,-199.0,-0.15756136,-4.3165445,1752476400,1752822000,,,true,14.0,19.047619,14.0,0.012567325,CLOSED,55.86,,20985074,532.76,1153.62,-89.619995,-0.07768589,1161.775,-97.775024,-0.08416003,,1.9971468,15,20,Asia/Tokyo,JST,32400000,9979.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,75.0,40.0,,JPY,BUNKYODO GROUP HOLDINGS CO LTD,0.0,0.0,2103453312,49.0,false,false,false,false,946944000000,2,0.0,1773901800,48.0,49.0,48.0 - 49.0,48.0,50200,48.0,0,0,jp_market,finmb_4493090,Tokyo,"Bunkyodo Group Holdings Co., Ltd.",49.0,135498,135910,8.0,0.2,40.0 - 75.0,-27.0,-0.36,-7.6923075,1752129000,1752474600,,,true,0.0,,,0.0,CLOSED,-3.57,,43821946,25.216,50.12,-2.119999,-0.042298462,52.145,-4.1450005,-0.079489894,,1.9035534,15,20,Asia/Tokyo,JST,32400000,9978.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,1450.0,900.0,1.85,JPY,SEKICHU CO LTD,0.09276438,1075.0,5889827328,1079.0,false,false,false,false,946944000000,2,1.0,1773901800,1079.0,1081.0,1075.0 - 1081.0,1075.0,4700,1078.0,0,0,jp_market,finmb_884017,Tokyo,"Sekichu Co., Ltd.",1075.0,4346,2230,179.0,0.19888888,900.0 - 1450.0,-371.0,-0.25586206,-0.36934614,1742972400,1742972400,,,false,20.0,12.5,20.0,0.018552875,CLOSED,86.32,,5458598,1968.938,1051.62,27.380005,0.026036026,1028.37,50.630005,0.049233258,,0.5480112,15,20,Asia/Tokyo,JST,32400000,9976.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,8200.0,6090.0,1.68,JPY,BELC CO LTD,-2.890933,7380.0,153940328448,7490.0,false,false,false,false,1203638400000,2,-220.0,1773901800,7390.0,7580.0,7390.0 - 7580.0,7390.0,23900,7610.0,0,0,jp_market,finmb_883762,Tokyo,"Belc CO., LTD.",7580.0,35103,21510,1300.0,0.21346469,6090.0 - 8200.0,-810.0,-0.09878049,7.4127913,1775802600,1775802600,,,false,124.0,12.468786,124.0,0.016294349,CLOSED,592.68,601.93,20830896,5563.179,7650.0,-260.0,-0.03398693,7472.35,-82.3501,-0.011020643,12.277175,1.3283771,15,20,Asia/Tokyo,JST,32400000,9974.T,1775802600,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,49.0,15.0,,JPY,KOZO HOLDINGS CO LTD,-3.846154,0.0,7365361664,0.0,false,false,false,false,946944000000,2,-1.0,1773901800,25.0,26.0,25.0 - 26.0,25.0,287300,26.0,0,0,jp_market,finmb_5720054,Tokyo,"KOZO Holdings Co.,Ltd.",26.0,2928024,1489720,10.0,0.6666667,15.0 - 49.0,-24.0,-0.48979592,38.888885,1754982000,1755500400,,,true,0.0,,,0.0,CLOSED,-3.24,,294614474,1.268,27.94,-2.9400005,-0.1052255,26.77,-1.7700005,-0.06611881,,19.716087,15,20,Asia/Tokyo,JST,32400000,9973.T,,,"Kozosushi Co., LTD.",2026-03-20
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,313.0,181.0,2.55,JPY,ALTECH CO LTD,-0.7246377,274.0,3772812544,276.0,false,false,false,false,978307200000,2,-2.0,1773897294,274.0,276.0,274.0 - 276.0,274.0,4000,276.0,0,0,jp_market,finmb_882993,Tokyo,"Altech Co., Ltd.",276.0,20903,4670,93.0,0.5138122,181.0 - 313.0,-39.0,-0.12460064,9.599996,1751527800,1751873400,1739876340,1739876340,true,7.0,,7.0,0.025362318,CLOSED,-188.43,,13769389,609.395,280.06,-6.0599976,-0.021638213,267.84,6.1600037,0.02299882,,0.44962627,15,20,Asia/Tokyo,JST,32400000,9972.T,,,,
en-US,US,EQUITY,Equity,Delayed Quote,false,LOW,JPY,JPX,266.0,220.0,0.94,JPY,SHOKUBUN CO LTD,0.0,264.0,4064483328,265.0,false,false,false,false,989366400000,2,0.0,1773901800,265.0,266.0,263.0 - 266.0,263.0,18600,265.0,0,0,jp_market,finmb_5773978,Tokyo,"Shokubun Co., Ltd.",263.0,11436,12690,45.0,0.20454545,220.0 - 266.0,-1.0,-0.0037593986,0.7604599,1747117800,1747117800,,,false,2.5,53.752537,2.5,0.009433962,CLOSED,4.93,,15337673,157.129,258.74,6.26001,0.02419421,250.97,14.029999,0.055903092,,1.6865124,15,20,Asia/Tokyo,JST,32400000,9969.T,,,"Shokubun Co., Ltd",2026-03-20
