"日付","終値","始値","高値","安値","変化率 %"
"2026-02-18","1.520","1.504","1.522","1.480","-0.66%"
"2026-02-17","1.530","1.549","1.566","1.516","-2.11%"
"2026-02-16","1.563","1.561","1.596","1.557","-0.89%"
"2026-02-13","1.577","1.556","1.612","1.571","0.00%"
"2026-02-12","1.577","1.562","1.627","1.570","-1.31%"
"2026-02-11","1.598","1.552","1.601","1.561","-0.19%"
"2026-02-10","1.601","1.594","1.623","1.574","-0.25%"
"2026-02-09","1.605","1.579","1.648","1.586","0.63%"
"2026-02-06","1.595","1.555","1.615","1.531","1.66%"
"2026-02-05","1.569","1.559","1.602","1.565","-0.44%"
"2026-02-04","1.576","1.571","1.607","1.567","-0.44%"
"2026-02-03","1.583","1.547","1.611","1.552","0.83%"
"2026-02-02","1.570","1.544","1.595","1.547","1.23%"
"2026-01-30","1.551","1.557","1.584","1.543","-1.40%"
"2026-01-29","1.573","1.568","1.596","1.562","-0.57%"
"2026-01-28","1.582","1.585","1.617","1.560","-1.31%"
"2026-01-27","1.603","1.566","1.629","1.578","1.39%"
"2026-01-26","1.581","1.556","1.605","1.542","0.89%"
"2026-01-23","1.567","1.519","1.591","1.521","2.49%"
"2026-01-22","1.529","1.550","1.569","1.521","-2.55%"
"2026-01-21","1.569","1.560","1.584","1.546","0.45%"
"2026-01-20","1.562","1.547","1.603","1.551","0.00%"
"2026-01-19","1.562","1.515","1.583","1.525","1.69%"
"2026-01-16","1.536","1.505","1.547","1.512","1.12%"
"2026-01-15","1.519","1.483","1.538","1.491","1.54%"
"2026-01-14","1.496","1.488","1.542","1.489","-1.25%"
"2026-01-13","1.515","1.479","1.536","1.484","0.66%"
"2026-01-12","1.505","1.512","1.542","1.488","-0.07%"
"2026-01-09","1.506","1.433","1.542","1.450","3.01%"
"2026-01-08","1.462","1.465","1.491","1.443","-1.81%"
"2026-01-07","1.489","1.493","1.521","1.480","-1.46%"
"2026-01-06","1.511","1.494","1.533","1.495","-0.07%"
"2026-01-05","1.512","1.462","1.534","1.478","1.41%"
"2026-01-02","1.491","1.491","1.491","1.491","0.00%"
"2026-01-01","1.491","1.491","1.491","1.491","0.00%"
"2025-12-31","1.491","1.491","1.491","1.491","0.00%"
"2025-12-30","1.491","1.434","1.501","1.445","3.33%"
"2025-12-29","1.443","1.390","1.469","1.420","0.49%"
"2025-12-26","1.436","1.419","1.448","1.431","-0.14%"
"2025-12-25","1.438","1.404","1.445","1.399","2.64%"
"2025-12-24","1.401","1.399","1.448","1.395","-0.78%"
"2025-12-23","1.412","1.425","1.458","1.398","-2.15%"
"2025-12-22","1.443","1.395","1.482","1.404","2.20%"
"2025-12-19","1.412","1.353","1.431","1.354","3.44%"
"2025-12-18","1.365","1.343","1.385","1.354","-0.36%"
"2025-12-17","1.370","1.343","1.393","1.352","0.51%"
"2025-12-16","1.363","1.335","1.382","1.344","-0.51%"
"2025-12-15","1.370","1.338","1.381","1.342","1.33%"
"2025-12-12","1.352","1.327","1.371","1.330","0.60%"
"2025-12-11","1.344","1.333","1.361","1.330","-0.52%"
"2025-12-10","1.351","1.347","1.382","1.346","-0.15%"
"2025-12-09","1.353","1.352","1.382","1.346","-0.59%"
"2025-12-08","1.361","1.335","1.386","1.344","0.59%"
"2025-12-05","1.353","1.303","1.367","1.314","2.04%"
"2025-12-04","1.326","1.283","1.344","1.295","2.24%"
"2025-12-03","1.297","1.275","1.321","1.286","0.31%"
"2025-12-02","1.293","1.276","1.315","1.279","-0.23%"
"2025-12-01","1.296","1.231","1.314","1.244","3.93%"
"2025-11-28","1.247","1.225","1.267","1.235","0.40%"
"2025-11-27","1.242","1.223","1.255","1.231","0.24%"
"2025-11-26","1.239","1.213","1.268","1.232","-0.64%"
"2025-11-25","1.247","1.205","1.259","1.211","2.63%"
"2025-11-24","1.215","1.175","1.218","1.203","0.16%"
"2025-11-21","1.213","1.213","1.237","1.196","-1.14%"
"2025-11-20","1.227","1.183","1.252","1.186","1.57%"
"2025-11-19","1.208","1.148","1.214","1.166","2.46%"
"2025-11-18","1.179","1.163","1.196","1.160","0.08%"
"2025-11-17","1.178","1.159","1.198","1.170","0.17%"
"2025-11-14","1.176","1.161","1.196","1.155","-0.17%"
"2025-11-13","1.178","1.156","1.193","1.162","0.34%"
"2025-11-12","1.174","1.159","1.194","1.165","0.26%"
"2025-11-11","1.171","1.175","1.201","1.167","-1.60%"
"2025-11-10","1.190","1.158","1.211","1.176","1.10%"
"2025-11-07","1.177","1.156","1.198","1.167","0.77%"
"2025-11-06","1.168","1.155","1.199","1.161","-0.76%"
"2025-11-05","1.177","1.152","1.191","1.154","0.43%"
"2025-11-04","1.172","1.150","1.194","1.163","0.09%"
"2025-11-03","1.171","1.144","1.183","1.165","0.17%"
"2025-10-31","1.169","1.140","1.183","1.152","0.86%"
"2025-10-30","1.159","1.164","1.190","1.150","-2.19%"
"2025-10-29","1.185","1.132","1.194","1.145","2.95%"
"2025-10-28","1.151","1.153","1.176","1.141","-1.03%"
"2025-10-27","1.163","1.139","1.190","1.157","0.00%"
"2025-10-24","1.163","1.140","1.180","1.150","-0.34%"
"2025-10-23","1.167","1.129","1.183","1.135","2.73%"
"2025-10-22","1.136","1.142","1.175","1.132","-1.56%"
"2025-10-21","1.154","1.155","1.181","1.145","-1.20%"
"2025-10-20","1.168","1.122","1.186","1.126","2.64%"
"2025-10-17","1.138","1.117","1.153","1.104","1.52%"
"2025-10-16","1.121","1.087","1.158","1.107","0.81%"
"2025-10-15","1.112","1.077","1.130","1.090","1.83%"
"2025-10-14","1.092","1.110","1.134","1.084","-1.44%"
"2025-10-13","1.108","1.100","1.130","1.108","-0.36%"
"2025-10-10","1.112","1.148","1.167","1.103","-4.96%"
"2025-10-09","1.170","1.150","1.187","1.153","0.52%"
"2025-10-08","1.164","1.140","1.186","1.152","0.52%"
"2025-10-07","1.158","1.139","1.174","1.143","0.09%"
"2025-10-06","1.157","1.157","1.193","1.112","-1.87%"
"2025-10-03","1.179","1.174","1.193","1.166","-0.25%"
"2025-10-02","1.182","1.170","1.204","1.169","-0.42%"
"2025-10-01","1.187","1.171","1.209","1.177","-0.25%"
"2025-09-30","1.190","1.164","1.210","1.171","0.85%"
"2025-09-29","1.180","1.151","1.198","1.159","1.11%"
"2025-09-26","1.167","1.173","1.201","1.158","-1.77%"
"2025-09-25","1.188","1.154","1.207","1.165","0.85%"
"2025-09-24","1.178","1.156","1.188","1.153","1.20%"
"2025-09-23","1.164","1.151","1.168","1.164","0.52%"
"2025-09-22","1.158","1.124","1.183","1.138","1.31%"
"2025-09-19","1.143","1.104","1.163","1.100","1.78%"
"2025-09-18","1.123","1.077","1.131","1.086","2.00%"
"2025-09-17","1.101","1.076","1.112","1.083","0.82%"
"2025-09-16","1.092","1.073","1.112","1.070","-0.27%"
"2025-09-15","1.095","1.068","1.105","1.089","0.64%"
"2025-09-12","1.088","1.052","1.105","1.064","2.16%"
"2025-09-11","1.065","1.037","1.085","1.047","1.24%"
"2025-09-10","1.052","1.046","1.076","1.045","-0.85%"
