date,tenor,term,value
2011-12-01,25Y,25,0.01962954641462441
2011-12-01,30Y,30,0.01895486702797367
2012-01-01,1Y,1,0.0034571185138775936
2012-01-01,2Y,2,0.0037924178687938725
2012-01-01,3Y,3,0.004399280623037837
2012-01-01,4Y,4,0.005732745842733766
2012-01-01,5Y,5,0.007860686495354603
2012-01-01,7Y,7,0.013888210299433539
2012-01-01,10Y,10,0.02079653940368567
2012-01-01,15Y,15,0.025079845662867608
2012-01-01,20Y,20,0.023650048136651922
2012-01-01,25Y,25,0.021334598374129987
2012-01-01,30Y,30,0.02049012850597076
2012-02-01,1Y,1,0.0033272724135378524
2012-02-01,2Y,2,0.0035274577190741205
2012-02-01,3Y,3,0.004329954403232034
2012-02-01,4Y,4,0.005909497890848615
2012-02-01,5Y,5,0.008124658103919078
2012-02-01,7Y,7,0.014239643213980014
2012-02-01,10Y,10,0.02185038617771564
2012-02-01,15Y,15,0.025998391394639615
2012-02-01,20Y,20,0.024810811780764754
2012-02-01,25Y,25,0.022565620728205643
2012-02-01,30Y,30,0.021731925820061202
2012-03-01,1Y,1,0.003387193687511623
2012-03-01,2Y,2,0.0037776087813149875
2012-03-01,3Y,3,0.004750735878041593
2012-03-01,4Y,4,0.006417050273756493
2012-03-01,5Y,5,0.008821828711173594
2012-03-01,7Y,7,0.014937129603891864
2012-03-01,10Y,10,0.022357436103712387
2012-03-01,15Y,15,0.02666209167656354
2012-03-01,20Y,20,0.02549096079996359
2012-03-01,25Y,25,0.023261460037475368
2012-03-01,30Y,30,0.02238445964341267
2012-04-01,1Y,1,0.0032973113843692225
2012-04-01,2Y,2,0.0034624642138476732
2012-04-01,3Y,3,0.003999001760391353
2012-04-01,4Y,4,0.005281243551365202
2012-04-01,5Y,5,0.0074278563305854835
2012-04-01,7Y,7,0.013263524162616275
2012-04-01,10Y,10,0.02069802370753864
2012-04-01,15Y,15,0.025495443024526776
2012-04-01,20Y,20,0.024537834240561447
2012-04-01,25Y,25,0.022494862636502917
2012-04-01,30Y,30,0.021495488162001673
2012-05-01,1Y,1,0.0033471975040174438
2012-05-01,2Y,2,0.003437297899984666
2012-05-01,3Y,3,0.0039688382851917016
2012-05-01,4Y,4,0.005039517005792455
2012-05-01,5Y,5,0.006649925078225737
2012-05-01,7Y,7,0.0117753644259451
2012-05-01,10Y,10,0.018703345969379028
2012-05-01,15Y,15,0.023633427631361947
2012-05-01,20Y,20,0.02181934769656186
2012-05-01,25Y,25,0.019485535968486123
2012-05-01,30Y,30,0.018465438745810293
2012-06-01,1Y,1,0.003217380534222845
2012-06-01,2Y,2,0.003322526302691295
2012-06-01,3Y,3,0.003798765414880977
2012-06-01,4Y,4,0.004829165998253728
2012-06-01,5Y,5,0.006559983282426791
2012-06-01,7Y,7,0.011614704509857913
2012-06-01,10Y,10,0.0192546254489756
