"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","1.978","2.049","2.138","1.933","-3.64%"
"2026-01-01","2.053","1.923","2.210","1.929","5.07%"
"2025-12-01","1.954","1.678","1.970","1.678","16.10%"
"2025-11-01","1.683","1.532","1.712","1.535","8.86%"
"2025-10-01","1.546","1.538","1.606","1.480","-0.51%"
"2025-09-01","1.554","1.454","1.574","1.415","4.58%"
"2025-08-01","1.486","1.389","1.520","1.329","4.65%"
"2025-07-01","1.420","1.253","1.464","1.270","10.59%"
"2025-06-01","1.284","1.288","1.349","1.243","-2.58%"
"2025-05-01","1.318","1.080","1.389","1.080","21.89%"
"2025-04-01","1.081","1.346","1.359","0.913","-19.53%"
"2025-03-01","1.344","1.285","1.441","1.285","4.58%"
"2025-02-01","1.285","1.199","1.378","1.186","7.19%"
"2025-01-01","1.199","1.095","1.212","1.095","9.48%"
"2024-12-01","1.095","1.071","1.116","1.046","2.21%"
"2024-11-01","1.071","0.994","1.116","0.955","7.67%"
"2024-10-01","0.995","0.911","1.025","0.874","9.04%"
"2024-09-01","0.913","0.944","0.964","0.855","-3.18%"
"2024-08-01","0.942","1.019","1.043","0.769","-9.70%"
"2024-07-01","1.044","1.080","1.126","0.935","-3.58%"
"2024-06-01","1.082","1.099","1.134","0.952","-4.52%"
"2024-05-01","1.134","0.976","1.144","0.935","11.16%"
"2024-04-01","1.020","0.858","1.058","0.851","19.65%"
"2024-03-01","0.853","0.881","0.940","0.831","-6.32%"
"2024-02-01","0.910","0.960","0.996","0.858","-5.09%"
"2024-01-01","0.959","0.886","0.989","0.746","8.18%"
"2023-12-01","0.886","0.971","1.072","0.769","-8.63%"
"2023-11-01","0.970","1.158","1.222","0.850","-19.00%"
"2023-10-01","1.197","1.018","1.220","0.928","17.69%"
"2023-09-01","1.018","0.819","1.034","0.806","15.30%"
"2023-08-01","0.882","0.765","0.913","0.748","12.15%"
"2023-07-01","0.787","0.603","0.830","0.545","25.90%"
"2023-06-01","0.625","0.637","0.670","0.516","-6.90%"
"2023-05-01","0.671","0.592","0.682","0.529","8.05%"
"2023-04-01","0.621","0.651","0.749","0.560","-8.97%"
"2023-03-01","0.683","0.814","0.960","0.482","-19.05%"
"2023-02-01","0.843","0.880","0.954","0.815","-8.36%"
"2023-01-01","0.920","0.936","1.067","0.744","-1.74%"
"2022-12-01","0.936","0.623","0.936","0.608","41.33%"
"2022-11-01","0.663","0.576","0.701","0.524","14.96%"
"2022-10-01","0.576","0.533","0.725","0.482","8.10%"
"2022-09-01","0.533","0.422","0.634","0.422","29.61%"
"2022-08-01","0.411","0.341","0.449","0.307","17.08%"
"2022-07-01","0.351","0.474","0.512","0.311","-31.96%"
"2022-06-01","0.516","0.382","0.659","0.357","29.46%"
"2022-05-01","0.399","0.393","0.464","0.316","-4.20%"
"2022-04-01","0.416","0.277","0.480","0.277","43.55%"
"2022-03-01","0.290","0.241","0.440","0.191","15.45%"
"2022-02-01","0.251","0.214","0.309","0.106","136.31%"
"2022-01-01","0.106","0.106","0.202","0.106","-5.51%"
"2021-12-01","0.112","0.086","0.114","0.061","69.68%"
"2021-11-01","0.066","0.120","0.122","0.064","-44.75%"
"2021-10-01","0.120","0.091","0.146","0.072","27.93%"
