"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","1.408","1.434","1.535","1.395","-2.46%"
"2026-01-01","1.444","1.355","1.512","1.327","4.26%"
"2025-12-01","1.385","1.132","1.390","1.150","19.71%"
"2025-11-01","1.157","1.064","1.173","1.069","6.34%"
"2025-10-01","1.088","1.102","1.135","1.005","-3.03%"
"2025-09-01","1.122","0.993","1.136","0.953","9.57%"
"2025-08-01","1.024","0.930","1.045","0.890","6.56%"
"2025-07-01","0.961","0.838","1.006","0.857","10.59%"
"2025-06-01","0.869","0.853","0.903","0.829","-1.59%"
"2025-05-01","0.883","0.725","0.896","0.719","21.59%"
"2025-04-01","0.726","0.973","0.975","0.605","-25.23%"
"2025-03-01","0.971","0.931","1.044","0.931","4.30%"
"2025-02-01","0.931","0.869","0.988","0.855","7.19%"
"2025-01-01","0.869","0.748","0.871","0.748","16.23%"
"2024-12-01","0.748","0.749","0.777","0.707","0.00%"
"2024-11-01","0.748","0.620","0.764","0.604","20.80%"
"2024-10-01","0.619","0.549","0.619","0.507","12.24%"
"2024-09-01","0.551","0.545","0.566","0.480","1.16%"
"2024-08-01","0.545","0.658","0.668","0.430","-16.79%"
"2024-07-01","0.655","0.567","0.656","0.522","15.93%"
"2024-06-01","0.565","0.618","0.618","0.490","-8.32%"
"2024-05-01","0.616","0.500","0.619","0.479","22.94%"
"2024-04-01","0.501","0.411","0.529","0.411","21.53%"
"2024-03-01","0.412","0.398","0.445","0.373","4.09%"
"2024-02-01","0.396","0.364","0.431","0.347","8.58%"
"2024-01-01","0.365","0.333","0.389","0.260","9.77%"
"2023-12-01","0.333","0.373","0.458","0.314","-10.14%"
"2023-11-01","0.370","0.484","0.522","0.333","-23.71%"
"2023-10-01","0.485","0.395","0.502","0.326","22.78%"
"2023-09-01","0.395","0.262","0.403","0.258","36.77%"
"2023-08-01","0.289","0.209","0.308","0.206","38.78%"
"2023-07-01","0.208","0.148","0.235","0.132","24.24%"
"2023-06-01","0.168","0.157","0.185","0.111","-10.09%"
"2023-05-01","0.186","0.148","0.205","0.134","4.96%"
"2023-04-01","0.177","0.197","0.237","0.144","-24.47%"
"2023-03-01","0.235","0.273","0.339","0.098","-15.32%"
"2023-02-01","0.278","0.289","0.365","0.269","-16.87%"
"2023-01-01","0.334","0.431","0.635","0.222","-22.61%"
"2022-12-01","0.431","0.213","0.446","0.204","78.74%"
"2022-11-01","0.241","0.168","0.243","0.139","41.94%"
"2022-10-01","0.170","0.178","0.271","0.126","-4.55%"
"2022-09-01","0.178","0.122","0.234","0.120","51.57%"
"2022-08-01","0.117","0.069","0.150","0.052","32.32%"
"2022-07-01","0.089","0.127","0.166","0.059","-32.37%"
"2022-06-01","0.131","0.093","0.296","0.055","19.36%"
"2022-05-01","0.110","0.106","0.154","0.065","-10.20%"
"2022-04-01","0.123","0.073","0.142","0.072","70.38%"
"2022-03-01","0.072","0.056","0.135","0.027","6.52%"
"2022-02-01","0.068","0.057","0.101","-0.001","32.09%"
"2022-01-01","0.051","-0.001","0.052","-0.002","-2,144.00%"
"2021-12-01","-0.002","-0.014","0.007","-0.025","-81.88%"
