"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","2.309","2.427","2.497","2.281","-5.08%"
"2026-01-01","2.432","2.288","2.615","2.294","4.92%"
"2025-12-01","2.318","2.070","2.343","2.069","11.82%"
"2025-11-01","2.073","1.896","2.107","1.892","8.48%"
"2025-10-01","1.911","1.882","1.993","1.851","0.47%"
"2025-09-01","1.902","1.849","1.933","1.823","1.28%"
"2025-08-01","1.878","1.780","1.922","1.733","3.70%"
"2025-07-01","1.811","1.628","1.865","1.646","9.16%"
"2025-06-01","1.659","1.644","1.715","1.615","-0.90%"
"2025-05-01","1.674","1.415","1.778","1.418","18.40%"
"2025-04-01","1.414","1.615","1.626","1.181","-12.32%"
"2025-03-01","1.612","1.543","1.707","1.543","4.54%"
"2025-02-01","1.543","1.449","1.625","1.439","6.47%"
"2025-01-01","1.449","1.386","1.503","1.386","4.51%"
"2024-12-01","1.386","1.364","1.410","1.336","1.65%"
"2024-11-01","1.364","1.288","1.401","1.250","5.82%"
"2024-10-01","1.289","1.188","1.314","1.150","8.41%"
"2024-09-01","1.189","1.209","1.225","1.139","-1.55%"
"2024-08-01","1.207","1.281","1.291","1.016","-6.58%"
"2024-07-01","1.293","1.362","1.396","1.220","-4.44%"
"2024-06-01","1.352","1.389","1.410","1.231","-4.00%"
"2024-05-01","1.409","1.268","1.428","1.230","8.47%"
"2024-04-01","1.299","1.133","1.332","1.126","15.19%"
"2024-03-01","1.128","1.145","1.207","1.099","-3.22%"
"2024-02-01","1.165","1.226","1.265","1.119","-5.86%"
"2024-01-01","1.237","1.143","1.266","1.018","8.32%"
"2023-12-01","1.143","1.214","1.341","1.025","-8.23%"
"2023-11-01","1.245","1.465","1.513","1.129","-16.30%"
"2023-10-01","1.487","1.280","1.511","1.214","16.21%"
"2023-09-01","1.280","1.097","1.313","1.081","10.70%"
"2023-08-01","1.156","1.014","1.186","0.993","10.78%"
"2023-07-01","1.044","0.831","1.077","0.766","24.44%"
"2023-06-01","0.839","0.859","0.876","0.733","-4.41%"
"2023-05-01","0.877","0.817","0.909","0.734","5.88%"
"2023-04-01","0.829","0.870","0.962","0.775","-5.96%"
"2023-03-01","0.881","1.020","1.175","0.702","-16.86%"
"2023-02-01","1.060","1.148","1.183","1.021","-7.87%"
"2023-01-01","1.151","1.130","1.279","1.023","1.82%"
"2022-12-01","1.130","0.873","1.130","0.834","25.91%"
"2022-11-01","0.897","0.836","0.952","0.784","7.24%"
"2022-10-01","0.837","0.764","0.991","0.717","9.40%"
"2022-09-01","0.765","0.649","0.861","0.649","19.76%"
"2022-08-01","0.639","0.598","0.681","0.536","8.27%"
"2022-07-01","0.590","0.691","0.721","0.562","-15.94%"
"2022-06-01","0.702","0.573","0.844","0.557","24.23%"
"2022-05-01","0.565","0.556","0.631","0.495","-1.74%"
"2022-04-01","0.575","0.428","0.642","0.428","31.25%"
"2022-03-01","0.438","0.405","0.626","0.344","6.70%"
"2022-02-01","0.411","0.347","0.489","0.224","25.91%"
"2022-01-01","0.326","0.250","0.330","0.224","36.56%"
"2021-12-01","0.239","0.209","0.250","0.166","34.54%"
"2021-11-01","0.177","0.243","0.245","0.176","-26.80%"
"2021-10-01","0.243","0.217","0.275","0.188","10.23%"
"2021-09-01","0.220","0.153","0.241","0.130","43.04%"
"2021-08-01","0.154","0.120","0.162","0.101","9.86%"
"2021-07-01","0.140","0.199","0.205","0.085","-32.14%"
"2021-06-01","0.206","0.248","0.268","0.162","-18.30%"
"2021-05-01","0.252","0.268","0.273","0.216","-6.93%"
"2021-04-01","0.271","0.292","0.313","0.215","-8.81%"
"2021-03-01","0.298","0.319","0.334","0.213","-12.19%"
"2021-02-01","0.339","0.202","0.355","0.170","61.33%"
"2021-01-01","0.210","0.175","0.214","0.119","20.00%"
"2020-12-01","0.175","0.135","0.177","0.094","13.78%"
"2020-11-01","0.154","0.156","0.189","0.089","-15.17%"
"2020-10-01","0.181","0.127","0.190","0.101","45.04%"
"2020-09-01","0.125","0.166","0.185","0.076","-27.54%"
