"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","1.669","1.723","1.817","1.642","-3.39%"
"2026-01-01","1.728","1.622","1.827","1.615","4.60%"
"2025-12-01","1.652","1.384","1.659","1.393","18.17%"
"2025-11-01","1.398","1.272","1.418","1.275","8.54%"
"2025-10-01","1.288","1.286","1.332","1.210","-1.15%"
"2025-09-01","1.303","1.177","1.323","1.133","7.78%"
"2025-08-01","1.209","1.118","1.241","1.059","5.50%"
"2025-07-01","1.146","0.996","1.191","1.016","11.80%"
"2025-06-01","1.025","1.023","1.076","0.988","-2.66%"
"2025-05-01","1.053","0.850","1.084","0.846","23.69%"
"2025-04-01","0.851","1.130","1.134","0.720","-24.42%"
"2025-03-01","1.126","1.077","1.220","1.077","4.65%"
"2025-02-01","1.076","0.998","1.163","0.983","7.90%"
"2025-01-01","0.998","0.876","0.999","0.876","13.83%"
"2024-12-01","0.876","0.864","0.897","0.832","1.45%"
"2024-11-01","0.864","0.756","0.890","0.729","13.84%"
"2024-10-01","0.759","0.683","0.779","0.641","10.97%"
"2024-09-01","0.684","0.694","0.717","0.616","-1.26%"
"2024-08-01","0.692","0.781","0.819","0.551","-15.03%"
"2024-07-01","0.815","0.775","0.834","0.637","2.84%"
"2024-06-01","0.793","0.799","0.844","0.665","-5.93%"
"2024-05-01","0.842","0.675","0.848","0.639","16.61%"
"2024-04-01","0.723","0.574","0.757","0.571","26.75%"
"2024-03-01","0.570","0.595","0.654","0.442","-10.24%"
"2024-02-01","0.635","0.616","0.690","0.563","-1.17%"
"2024-01-01","0.642","0.589","0.671","0.452","9.12%"
"2023-12-01","0.589","0.618","0.754","0.501","-9.94%"
"2023-11-01","0.654","0.801","0.865","0.545","-21.59%"
"2023-10-01","0.834","0.704","0.856","0.611","18.47%"
"2023-09-01","0.704","0.501","0.711","0.494","26.24%"
"2023-08-01","0.558","0.444","0.591","0.431","19.40%"
"2023-07-01","0.467","0.331","0.504","0.281","32.45%"
"2023-06-01","0.352","0.362","0.394","0.254","-10.49%"
"2023-05-01","0.394","0.319","0.409","0.284","8.25%"
"2023-04-01","0.364","0.389","0.460","0.306","-14.90%"
"2023-03-01","0.428","0.511","0.631","0.246","-20.29%"
"2023-02-01","0.536","0.559","0.642","0.512","-10.99%"
"2023-01-01","0.603","0.710","0.754","0.472","-15.14%"
"2022-12-01","0.710","0.381","0.710","0.371","70.55%"
"2022-11-01","0.416","0.331","0.434","0.294","25.20%"
"2022-10-01","0.333","0.327","0.472","0.285","-6.34%"
"2022-09-01","0.355","0.241","0.420","0.240","52.69%"
"2022-08-01","0.233","0.161","0.271","0.136","30.99%"
"2022-07-01","0.177","0.259","0.298","0.151","-33.35%"
"2022-06-01","0.266","0.209","0.468","0.172","29.90%"
"2022-05-01","0.205","0.224","0.284","0.164","-14.58%"
"2022-04-01","0.240","0.152","0.284","0.152","49.44%"
"2022-03-01","0.161","0.123","0.262","0.078","25.96%"
"2022-02-01","0.127","0.115","0.185","0.029","23.07%"
"2022-01-01","0.104","0.029","0.107","0.020","230.99%"
"2021-12-01","0.031","0.013","0.034","-0.006","-1,352.00%"
"2021-11-01","-0.002","0.044","0.049","-0.004","-105.40%"
"2021-10-01","0.046","0.018","0.063","0.001","131.50%"
"2021-09-01","0.020","-0.029","0.031","-0.043","-163.90%"
"2021-08-01","-0.031","-0.051","-0.020","-0.065","-25.30%"
"2021-07-01","-0.042","-0.015","-0.007","-0.066","319.00%"
"2021-06-01","-0.010","0.007","0.020","-0.041","-188.50%"
"2021-05-01","0.011","0.013","0.023","-0.013","-24.67%"
"2021-04-01","0.015","0.020","0.040","-0.019","-36.97%"
"2021-03-01","0.024","0.035","0.047","-0.024","-55.76%"
"2021-02-01","0.054","-0.045","0.065","-0.056","-248.21%"
"2021-01-01","-0.036","-0.038","-0.029","-0.070","-3.20%"
"2020-12-01","-0.038","-0.043","-0.027","-0.071","0.00%"
"2020-11-01","-0.038","-0.040","-0.021","-0.074","30.21%"
"2020-10-01","-0.029","-0.058","-0.026","-0.075","-51.02%"
"2020-09-01","-0.059","-0.026","-0.015","-0.085","176.06%"
"2020-08-01","-0.021","-0.071","-0.009","-0.080","-57.40%"
"2020-07-01","-0.050","-0.025","-0.009","-0.083","185.71%"
"2020-06-01","-0.018","-0.068","0.020","-0.075","-61.11%"
"2020-05-01","-0.045","-0.094","-0.094","-0.094","-42.89%"
"2020-04-01","-0.079","-0.058","-0.058","-0.058","18.85%"
"2020-03-01","-0.066","-0.159","-0.159","-0.159","-62.39%"
"2020-02-01","-0.176","-0.065","-0.065","-0.065","187.60%"
"2020-01-01","-0.061","0.010","0.010","0.010","-713.00%"
"2019-12-01","0.010","-0.013","-0.013","-0.013","-128.57%"
"2019-11-01","-0.035","-0.116","-0.116","-0.116","-67.44%"
"2019-10-01","-0.108","-0.145","-0.145","-0.145","-26.52%"
"2019-09-01","-0.146","-0.181","-0.181","-0.181","-9.30%"
"2019-08-01","-0.161","-0.112","-0.112","-0.112","59.23%"
"2019-07-01","-0.101","-0.109","-0.109","-0.109","-4.70%"
"2019-06-01","-0.106","-0.081","-0.081","-0.081","192.84%"
"2019-05-01","-0.036","-0.005","-0.005","-0.005","626.00%"
"2019-04-01","-0.005","-0.030","-0.030","-0.030","-83.33%"
"2019-03-01","-0.030","0.015","0.015","0.015","-340.00%"
"2019-02-01","0.013","0.001","0.001","0.001","861.54%"
"2019-01-01","0.001","0.024","0.024","0.024","-96.00%"
"2018-12-01","0.032","0.070","0.070","0.070","-63.89%"
"2018-11-01","0.090","0.142","0.142","0.142","-40.00%"
"2018-10-01","0.150","0.180","0.180","0.180","-13.64%"
"2018-09-01","0.174","0.161","0.161","0.161","10.29%"
"2018-08-01","0.157","0.183","0.183","0.183","15.55%"
"2018-07-01","0.136","0.110","0.110","0.110","19.77%"
"2018-06-01","0.114","0.130","0.130","0.130","-8.08%"
"2018-05-01","0.124","0.124","0.124","0.124","4.21%"
"2018-04-01","0.119","0.119","0.119","0.119","-4.96%"
"2018-03-01","0.125","0.125","0.125","0.125","-4.80%"
"2018-02-01","0.131","0.131","0.131","0.131","-3.67%"
"2018-01-01","0.136","0.136","0.136","0.136","13.58%"
"2017-12-01","0.120","0.120","0.120","0.120","-1.07%"
"2017-11-01","0.121","0.121","0.121","0.121","-2.96%"
"2017-10-01","0.125","0.125","0.125","0.125","3.05%"
"2017-09-01","0.121","0.121","0.121","0.121","58.98%"
"2017-08-01","0.076","0.076","0.076","0.076","-40.16%"
"2017-07-01","0.127","0.127","0.127","0.127","2.99%"
"2017-06-01","0.124","0.124","0.124","0.124","19.27%"
"2017-05-01","0.104","0.104","0.104","0.104","38.40%"
"2017-04-01","0.075","0.075","0.075","0.075","-37.50%"
"2017-03-01","0.120","0.120","0.120","0.120","26.32%"
"2017-02-01","0.095","0.095","0.095","0.095","-17.39%"
"2017-01-01","0.115","0.115","0.115","0.115","35.29%"
"2016-12-01","0.085","0.085","0.085","0.085","-5.56%"
"2016-11-01","0.090","0.090","0.090","0.090","-522.54%"
"2016-10-01","-0.021","-0.021","-0.021","-0.021","-76.01%"
"2016-09-01","-0.089","-0.089","-0.089","-0.089","61.45%"
"2016-08-01","-0.055","-0.055","-0.055","-0.055","-51.11%"
"2016-07-01","-0.112","-0.112","-0.112","-0.112","-25.00%"
"2016-06-01","-0.150","-0.150","-0.150","-0.150","135.11%"
"2016-05-01","-0.064","-0.064","-0.064","-0.064","82.29%"
"2016-04-01","-0.035","-0.035","-0.035","-0.035","-12.50%"
"2016-03-01","-0.040","-0.040","-0.040","-0.040","-57.36%"
"2016-02-01","-0.094","-0.094","-0.094","-0.094","-266.61%"
"2016-01-01","0.056","0.056","0.056","0.056","-72.03%"
"2015-12-01","0.201","0.201","0.201","0.201","3.23%"
"2015-11-01","0.195","0.195","0.195","0.195","-14.29%"
"2015-10-01","0.228","0.228","0.228","0.228","-6.19%"
"2015-09-01","0.243","0.243","0.243","0.243","-11.43%"
"2015-08-01","0.274","0.274","0.274","0.274","-6.39%"
"2015-07-01","0.292","0.292","0.292","0.292","-14.92%"
"2015-06-01","0.344","0.344","0.344","0.344","16.03%"
"2015-05-01","0.296","0.296","0.296","0.296","-4.42%"
"2015-04-01","0.310","0.310","0.310","0.310","-4.62%"
"2015-03-01","0.325","0.325","0.325","0.325","24.38%"
"2015-02-01","0.261","0.261","0.261","0.261","5.02%"
"2015-01-01","0.249","0.249","0.249","0.249","0.00%"
"2014-12-01","0.249","0.249","0.249","0.249","-10.76%"
"2014-11-01","0.279","0.279","0.279","0.279","-0.89%"
"2014-10-01","0.281","0.281","0.281","0.281","-11.40%"
"2014-09-01","0.317","0.317","0.317","0.317","4.96%"
"2014-08-01","0.303","0.303","0.303","0.303","0.40%"
"2014-07-01","0.301","0.301","0.301","0.301","-9.38%"
"2014-06-01","0.333","0.333","0.333","0.333","-11.92%"
"2014-05-01","0.377","0.377","0.377","0.377","-5.34%"
"2014-04-01","0.399","0.399","0.399","0.399","-2.73%"
"2014-03-01","0.410","0.410","0.410","0.410","5.45%"
"2014-02-01","0.389","0.389","0.389","0.389","-3.40%"
"2014-01-01","0.403","0.403","0.403","0.403","-16.58%"
"2013-12-01","0.482","0.482","0.482","0.482","19.88%"
"2013-11-01","0.403","0.403","0.403","0.403","3.87%"
"2013-10-01","0.387","0.387","0.387","0.387","-18.42%"
"2013-09-01","0.475","0.475","0.475","0.475","-5.94%"
"2013-08-01","0.505","0.505","0.505","0.505","-5.16%"
"2013-07-01","0.533","0.533","0.533","0.533","-8.97%"
"2013-06-01","0.585","0.585","0.585","0.585","-7.87%"
"2013-05-01","0.635","0.635","0.635","0.635","45.98%"
"2013-04-01","0.435","0.435","0.435","0.435","26.09%"
"2013-03-01","0.345","0.345","0.345","0.345","2.37%"
"2013-02-01","0.337","0.337","0.337","0.337","-5.34%"
"2013-01-01","0.356","0.356","0.356","0.356","-4.04%"
"2012-12-01","0.371","0.371","0.371","0.371","10.75%"
"2012-11-01","0.335","0.335","0.335","0.335","-10.95%"
"2012-10-01","0.376","0.376","0.376","0.376","-1.65%"
"2012-09-01","0.382","0.382","0.382","0.382","-9.14%"
"2012-08-01","0.421","0.421","0.421","0.421","6.58%"
"2012-07-01","0.395","0.395","0.395","0.395","-12.71%"
"2012-06-01","0.452","0.452","0.452","0.452","-2.69%"
"2012-05-01","0.465","0.465","0.465","0.465","-5.10%"
"2012-04-01","0.490","0.490","0.490","0.490","-13.09%"
"2012-03-01","0.564","0.564","0.564","0.564","7.39%"
"2012-02-01","0.525","0.525","0.525","0.525","0.38%"
"2012-01-01","0.523","0.523","0.523","0.523","-3.68%"
"2011-12-01","0.543","0.543","0.543","0.543","-12.94%"
"2011-11-01","0.624","0.624","0.624","0.624","12.64%"
"2011-10-01","0.554","0.554","0.554","0.554","-1.13%"
"2011-09-01","0.560","0.560","0.560","0.560","3.95%"
"2011-08-01","0.539","0.539","0.539","0.539","-6.52%"
"2011-07-01","0.576","0.576","0.576","0.576","-12.19%"
"2011-06-01","0.656","0.656","0.656","0.656","-2.22%"
"2011-05-01","0.671","0.671","0.671","0.671","-2.91%"
"2011-04-01","0.691","0.691","0.691","0.691","-6.42%"
"2011-03-01","0.739","0.739","0.739","0.739","-7.89%"
"2011-02-01","0.802","0.802","0.802","0.802","7.80%"
"2011-01-01","0.744","0.744","0.744","0.744","11.88%"
"2010-12-01","0.665","0.665","0.665","0.665","-5.94%"
"2010-11-01","0.707","0.707","0.707","0.707","29.96%"
"2010-10-01","0.544","0.544","0.544","0.544","-2.51%"
"2010-09-01","0.558","0.558","0.558","0.558","-4.62%"
"2010-08-01","0.585","0.585","0.585","0.585","-10.82%"
"2010-07-01","0.656","0.656","0.656","0.656","-5.34%"
"2010-06-01","0.693","0.693","0.693","0.693","-12.39%"
