"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","1.594","1.635","1.736","1.572","-3.08%"
"2026-01-01","1.645","1.551","1.723","1.535","4.05%"
"2025-12-01","1.581","1.313","1.586","1.322","19.14%"
"2025-11-01","1.327","1.209","1.346","1.217","7.97%"
"2025-10-01","1.229","1.229","1.272","1.146","-1.44%"
"2025-09-01","1.247","1.122","1.268","1.076","8.43%"
"2025-08-01","1.150","1.058","1.181","1.004","5.60%"
"2025-07-01","1.089","0.941","1.134","0.964","12.04%"
"2025-06-01","0.972","0.966","1.018","0.934","-2.41%"
"2025-05-01","0.996","0.808","1.016","0.800","23.53%"
"2025-04-01","0.806","1.081","1.084","0.689","-25.26%"
"2025-03-01","1.079","1.030","1.169","1.030","4.74%"
"2025-02-01","1.030","0.955","1.110","0.940","7.85%"
"2025-01-01","0.955","0.832","0.956","0.832","14.71%"
"2024-12-01","0.832","0.825","0.855","0.788","1.06%"
"2024-11-01","0.824","0.709","0.846","0.684","16.03%"
"2024-10-01","0.710","0.636","0.725","0.595","11.37%"
"2024-09-01","0.637","0.642","0.665","0.569","-0.78%"
"2024-08-01","0.642","0.764","0.770","0.524","-15.74%"
"2024-07-01","0.762","0.721","0.766","0.665","5.90%"
"2024-06-01","0.720","0.770","0.770","0.630","-6.49%"
"2024-05-01","0.770","0.646","0.774","0.611","19.14%"
"2024-04-01","0.646","0.544","0.680","0.544","18.59%"
"2024-03-01","0.545","0.555","0.585","0.034","-2.03%"
"2024-02-01","0.556","0.550","0.605","0.519","0.91%"
"2024-01-01","0.551","0.502","0.580","0.412","9.71%"
"2023-12-01","0.502","0.566","0.663","0.466","-10.87%"
"2023-11-01","0.564","0.691","0.759","0.515","-22.23%"
"2023-10-01","0.725","0.608","0.748","0.535","19.34%"
"2023-09-01","0.608","0.436","0.615","0.431","29.95%"
"2023-08-01","0.468","0.376","0.499","0.367","24.87%"
"2023-07-01","0.374","0.259","0.410","0.236","33.71%"
"2023-06-01","0.280","0.285","0.317","0.212","-11.81%"
