"日付","終値","始値","高値","安値","変化率 %"
"2026-02-01","2.583","2.727","2.774","2.553","-5.21%"
"2026-01-01","2.725","2.580","2.927","2.595","4.41%"
"2025-12-01","2.610","2.407","2.641","2.406","8.21%"
"2025-11-01","2.412","2.200","2.442","2.203","8.70%"
"2025-10-01","2.219","2.188","2.324","2.164","0.73%"
"2025-09-01","2.203","2.178","2.285","2.155","-0.36%"
"2025-08-01","2.211","2.108","2.266","2.074","3.37%"
"2025-07-01","2.139","1.941","2.210","1.960","8.58%"
"2025-06-01","1.970","1.935","2.011","1.914","0.25%"
"2025-05-01","1.965","1.690","2.094","1.699","16.35%"
"2025-04-01","1.689","1.831","1.840","1.401","-7.59%"
"2025-03-01","1.827","1.755","1.923","1.755","4.20%"
"2025-02-01","1.754","1.668","1.830","1.661","5.18%"
"2025-01-01","1.668","1.644","1.751","1.624","1.44%"
"2024-12-01","1.644","1.612","1.666","1.580","1.94%"
"2024-11-01","1.612","1.539","1.644","1.503","4.71%"
"2024-10-01","1.540","1.419","1.564","1.381","8.36%"
"2024-09-01","1.421","1.433","1.450","1.357","-0.79%"
"2024-08-01","1.433","1.492","1.495","1.221","-4.10%"
"2024-07-01","1.494","1.586","1.612","1.445","-4.48%"
"2024-06-01","1.564","1.616","1.626","1.451","-3.84%"
"2024-05-01","1.626","1.499","1.655","1.466","6.99%"
"2024-04-01","1.520","1.351","1.554","1.339","12.91%"
"2024-03-01","1.346","1.360","1.423","1.308","-0.92%"
"2024-02-01","1.359","1.447","1.464","1.319","-5.89%"
"2024-01-01","1.444","1.341","1.479","1.224","7.64%"
"2023-12-01","1.341","1.423","1.550","1.219","-7.02%"
"2023-11-01","1.442","1.676","1.721","1.334","-14.84%"
"2023-10-01","1.694","1.469","1.722","1.423","15.32%"
"2023-09-01","1.469","1.299","1.507","1.280","8.70%"
"2023-08-01","1.351","1.194","1.385","1.166","10.48%"
"2023-07-01","1.223","0.991","1.254","0.929","23.07%"
"2023-06-01","0.994","1.017","1.032","0.894","-3.64%"
"2023-05-01","1.031","0.976","1.077","0.889","5.50%"
"2023-04-01","0.978","1.028","1.117","0.933","-5.33%"
"2023-03-01","1.033","1.155","1.317","0.855","-13.51%"
"2023-02-01","1.194","1.329","1.344","1.156","-10.33%"
"2023-01-01","1.331","1.283","1.421","1.194","3.81%"
"2022-12-01","1.283","1.071","1.283","1.006","17.12%"
"2022-11-01","1.095","1.043","1.170","0.990","4.91%"
"2022-10-01","1.044","0.961","1.242","0.918","8.51%"
"2022-09-01","0.962","0.844","1.061","0.837","15.46%"
"2022-08-01","0.833","0.808","0.881","0.721","4.79%"
"2022-07-01","0.795","0.863","0.917","0.769","-10.55%"
"2022-06-01","0.889","0.733","0.981","0.724","19.90%"
"2022-05-01","0.741","0.684","0.770","0.644","5.52%"
"2022-04-01","0.702","0.553","0.780","0.553","22.97%"
"2022-03-01","0.571","0.549","0.801","0.488","2.24%"
"2022-02-01","0.559","0.470","0.649","0.350","59.66%"
"2022-01-01","0.350","0.375","0.446","0.350","-4.45%"
"2021-12-01","0.366","0.331","0.366","0.282","22.59%"
"2021-11-01","0.299","0.358","0.363","0.296","-17.00%"
"2021-10-01","0.360","0.338","0.404","0.306","5.88%"
"2021-09-01","0.340","0.268","0.366","0.244","26.49%"
"2021-08-01","0.269","0.234","0.274","0.214","6.46%"
"2021-07-01","0.252","0.321","0.326","0.188","-22.90%"
"2021-06-01","0.327","0.370","0.394","0.280","-12.39%"
"2021-05-01","0.374","0.390","0.395","0.338","-5.08%"
"2021-04-01","0.394","0.412","0.436","0.334","-5.68%"
"2021-03-01","0.417","0.442","0.461","0.321","-9.73%"
"2021-02-01","0.463","0.333","0.481","0.298","35.51%"
"2021-01-01","0.341","0.285","0.345","0.221","19.75%"
"2020-12-01","0.285","0.222","0.287","0.181","15.15%"
"2020-11-01","0.248","0.255","0.291","0.175","-13.16%"
"2020-10-01","0.285","0.221","0.299","0.195","31.03%"
"2020-09-01","0.218","0.262","0.282","0.164","-18.69%"
"2020-08-01","0.268","0.140","0.299","0.120","42.67%"
"2020-07-01","0.188","0.252","0.298","0.109","-26.84%"
"2020-06-01","0.256","0.151","0.327","0.150","23.52%"
"2020-05-01","0.207","0.196","0.196","0.196","15.28%"
"2020-04-01","0.180","0.119","0.119","0.119","41.18%"
"2020-03-01","0.127","0.115","0.115","0.115","121.74%"
"2020-02-01","0.058","0.210","0.210","0.210","-71.95%"
"2020-01-01","0.205","0.301","0.301","0.301","-31.96%"
"2019-12-01","0.301","0.296","0.296","0.296","11.06%"
"2019-11-01","0.271","0.191","0.191","0.191","35.65%"
"2019-10-01","0.200","0.221","0.221","0.221","-9.62%"
"2019-09-01","0.221","0.074","0.074","0.074","139.24%"
"2019-08-01","0.093","0.229","0.229","0.229","-63.73%"
"2019-07-01","0.255","0.257","0.257","0.257","-11.70%"
"2019-06-01","0.289","0.352","0.352","0.352","-21.69%"
"2019-05-01","0.369","0.438","0.438","0.438","-15.70%"
"2019-04-01","0.438","0.414","0.414","0.414","7.68%"
"2019-03-01","0.406","0.498","0.498","0.498","-19.94%"
"2019-02-01","0.507","0.476","0.476","0.476","4.10%"
"2019-01-01","0.488","0.531","0.531","0.531","-9.50%"
"2018-12-01","0.539","0.609","0.609","0.609","-15.67%"
"2018-11-01","0.639","0.706","0.706","0.706","-11.89%"
"2018-10-01","0.725","0.740","0.740","0.740","-0.86%"
"2018-09-01","0.731","0.715","0.715","0.715","3.17%"
"2018-08-01","0.709","0.712","0.712","0.712","6.80%"
"2018-07-01","0.664","0.576","0.576","0.576","12.24%"
"2018-06-01","0.591","0.623","0.623","0.623","-1.86%"
"2018-05-01","0.603","0.603","0.603","0.603","-1.23%"
"2018-04-01","0.610","0.610","0.610","0.610","-0.41%"
"2018-03-01","0.613","0.613","0.613","0.613","-1.81%"
"2018-02-01","0.624","0.624","0.624","0.624","-7.76%"
"2018-01-01","0.676","0.676","0.676","0.676","-8.92%"
"2017-12-01","0.743","0.743","0.743","0.743","2.94%"
"2017-11-01","0.721","0.721","0.721","0.721","-0.17%"
"2017-10-01","0.723","0.723","0.723","0.723","4.71%"
"2017-09-01","0.690","0.690","0.690","0.690","14.52%"
"2017-08-01","0.603","0.603","0.603","0.603","-6.78%"
"2017-07-01","0.646","0.646","0.646","0.646","1.57%"
"2017-06-01","0.636","0.636","0.636","0.636","3.67%"
"2017-05-01","0.614","0.614","0.614","0.614","2.73%"
"2017-04-01","0.598","0.598","0.598","0.598","-10.49%"
"2017-03-01","0.668","0.668","0.668","0.668","-0.37%"
"2017-02-01","0.670","0.670","0.670","0.670","-0.37%"
